epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.661,0.62946,2.47008,1.15094,0.95442,0.9662,0.9906,0.90267,0.44434,0.41777,0.96455,0.00332902,0.00332902,0.00332902
2,424.838,0.5818,1.00276,1.06846,0.98241,0.98593,0.99393,0.90027,0.46678,0.33732,0.98111,0.00662937,0.00662937,0.00662937
3,619.233,0.62514,0.93284,1.08471,0.95905,0.97696,0.98566,0.88338,0.48688,0.4027,1.00196,0.00989672,0.00989672,0.00989672
4,812.78,0.63365,0.88139,1.08783,0.97715,0.97828,0.9922,0.88956,0.48426,0.3454,1.00102,0.0098515,0.0098515,0.0098515
5,1006.1,0.60491,0.79813,1.07214,0.99082,0.99635,0.99441,0.90632,0.4493,0.26079,0.96447,0.009802,0.009802,0.009802
6,1199.59,0.58071,0.72304,1.05706,0.97341,0.99067,0.99423,0.90731,0.45071,0.27628,0.96336,0.0097525,0.0097525,0.0097525
7,1392.98,0.56752,0.68204,1.04991,0.9918,0.99451,0.99455,0.91184,0.43708,0.23921,0.94672,0.009703,0.009703,0.009703
8,1583.93,0.55568,0.64897,1.04372,0.9954,0.99904,0.99462,0.91208,0.42958,0.22977,0.94008,0.0096535,0.0096535,0.0096535
9,1774.67,0.54224,0.61864,1.03712,0.98751,0.9949,0.99459,0.91069,0.43501,0.23232,0.94293,0.009604,0.009604,0.009604
10,1965.21,0.53493,0.60246,1.03315,0.99584,0.99908,0.9946,0.91853,0.42116,0.21315,0.93745,0.0095545,0.0095545,0.0095545
11,2155.58,0.52769,0.58643,1.02698,0.99623,0.99887,0.99464,0.91781,0.42396,0.21371,0.93812,0.009505,0.009505,0.009505
12,2345.78,0.52773,0.57524,1.02979,0.99512,0.99875,0.99461,0.91707,0.42622,0.21139,0.93884,0.0094555,0.0094555,0.0094555
13,2536.1,0.51956,0.55426,1.02489,0.99604,0.99813,0.99461,0.9222,0.4218,0.21244,0.93647,0.009406,0.009406,0.009406
14,2726.57,0.5122,0.53707,1.02183,0.99555,0.99934,0.99466,0.91981,0.41353,0.19969,0.92846,0.0093565,0.0093565,0.0093565
15,2917,0.50915,0.52942,1.01872,0.99609,0.99906,0.99474,0.92063,0.41548,0.19682,0.92747,0.009307,0.009307,0.009307
16,3107.11,0.50717,0.51068,1.01529,0.99618,0.99877,0.99468,0.92332,0.41208,0.19824,0.9267,0.0092575,0.0092575,0.0092575
17,3297.26,0.50358,0.51212,1.0137,0.99657,0.99813,0.99462,0.92509,0.41088,0.19447,0.9251,0.009208,0.009208,0.009208
18,3487.51,0.49954,0.49595,1.01237,0.99768,0.99906,0.99477,0.92562,0.40823,0.19735,0.92445,0.0091585,0.0091585,0.0091585
19,3677.73,0.49652,0.49075,1.01146,0.99695,0.99935,0.99475,0.92602,0.41123,0.1934,0.92727,0.009109,0.009109,0.009109
20,3867.97,0.49356,0.48688,1.01169,0.99733,0.99856,0.99471,0.92674,0.40544,0.18719,0.92102,0.0090595,0.0090595,0.0090595
21,4058.5,0.49225,0.47634,1.00769,0.99731,0.99902,0.9947,0.92467,0.40327,0.18595,0.92012,0.00901,0.00901,0.00901
22,4248.83,0.49044,0.47632,1.00907,0.99725,0.99912,0.99477,0.9279,0.40219,0.18117,0.91889,0.0089605,0.0089605,0.0089605
